Time,Absorbance,wadsorbate,Volume
0,3.0783,0.005,0.005
2,3.0204,0.005,0.005
7,2.9024,0.005,0.005
11,2.8206,0.005,0.005
13,2.7704,0.005,0.005
15,2.7285,0.005,0.005
19,2.6781,0.005,0.005
22,2.6227,0.005,0.005
24,2.5741,0.005,0.005
29,2.5239,0.005,0.005
32,2.4799,0.005,0.005
35,2.4245,0.005,0.005
38,2.3807,0.005,0.005
45,2.321,0.005,0.005
47,2.2748,0.005,0.005
54,2.218,0.005,0.005
57,2.1668,0.005,0.005
60,2.1242,0.005,0.005
63,2.0761,0.005,0.005
71,2.0248,0.005,0.005
75,1.9748,0.005,0.005
80,1.9005,0.005,0.005
84,1.871,0.005,0.005
89,1.8276,0.005,0.005
95,1.7832,0.005,0.005
101,1.7296,0.005,0.005
110,1.6406,0.005,0.005
114,1.5939,0.005,0.005
121,1.5109,0.005,0.005
138,1.4579,0.005,0.005
141,1.4196,0.005,0.005
149,1.378,0.005,0.005
152,1.349,0.005,0.005
192,1.2591,0.005,0.005
240,1.1714,0.005,0.005
271,1.108,0.005,0.005
